"file","date","n_tweets"
"2020-01/coronavirus-tweet-id-2020-01-21-22.txt","2020-01-21",68
"2020-01/coronavirus-tweet-id-2020-01-21-23.txt","2020-01-21",156
"2020-01/coronavirus-tweet-id-2020-01-22-00.txt","2020-01-22",129
"2020-01/coronavirus-tweet-id-2020-01-22-01.txt","2020-01-22",128
"2020-01/coronavirus-tweet-id-2020-01-22-02.txt","2020-01-22",243
"2020-01/coronavirus-tweet-id-2020-01-22-03.txt","2020-01-22",338
"2020-01/coronavirus-tweet-id-2020-01-22-04.txt","2020-01-22",255
"2020-01/coronavirus-tweet-id-2020-01-22-05.txt","2020-01-22",246
"2020-01/coronavirus-tweet-id-2020-01-22-06.txt","2020-01-22",179
"2020-01/coronavirus-tweet-id-2020-01-22-07.txt","2020-01-22",161
"2020-01/coronavirus-tweet-id-2020-01-22-08.txt","2020-01-22",264
"2020-01/coronavirus-tweet-id-2020-01-22-09.txt","2020-01-22",710
"2020-01/coronavirus-tweet-id-2020-01-22-10.txt","2020-01-22",727
"2020-01/coronavirus-tweet-id-2020-01-22-11.txt","2020-01-22",1084
"2020-01/coronavirus-tweet-id-2020-01-22-12.txt","2020-01-22",1082
"2020-01/coronavirus-tweet-id-2020-01-22-13.txt","2020-01-22",1474
"2020-01/coronavirus-tweet-id-2020-01-22-14.txt","2020-01-22",1641
"2020-01/coronavirus-tweet-id-2020-01-22-15.txt","2020-01-22",2139
"2020-01/coronavirus-tweet-id-2020-01-22-16.txt","2020-01-22",2135
"2020-01/coronavirus-tweet-id-2020-01-22-17.txt","2020-01-22",1647
"2020-01/coronavirus-tweet-id-2020-01-22-18.txt","2020-01-22",1919
"2020-01/coronavirus-tweet-id-2020-01-22-19.txt","2020-01-22",2744
"2020-01/coronavirus-tweet-id-2020-01-22-20.txt","2020-01-22",2999
"2020-01/coronavirus-tweet-id-2020-01-22-21.txt","2020-01-22",2219
"2020-01/coronavirus-tweet-id-2020-01-22-22.txt","2020-01-22",2028
"2020-01/coronavirus-tweet-id-2020-01-22-23.txt","2020-01-22",2029
"2020-01/coronavirus-tweet-id-2020-01-23-00.txt","2020-01-23",2410
"2020-01/coronavirus-tweet-id-2020-01-23-01.txt","2020-01-23",2480
"2020-01/coronavirus-tweet-id-2020-01-23-02.txt","2020-01-23",2322
"2020-01/coronavirus-tweet-id-2020-01-23-03.txt","2020-01-23",2267
"2020-01/coronavirus-tweet-id-2020-01-23-04.txt","2020-01-23",2060
"2020-01/coronavirus-tweet-id-2020-01-23-05.txt","2020-01-23",1998
"2020-01/coronavirus-tweet-id-2020-01-23-06.txt","2020-01-23",2296
"2020-01/coronavirus-tweet-id-2020-01-23-07.txt","2020-01-23",2006
"2020-01/coronavirus-tweet-id-2020-01-23-08.txt","2020-01-23",2296
"2020-01/coronavirus-tweet-id-2020-01-23-09.txt","2020-01-23",2301
"2020-01/coronavirus-tweet-id-2020-01-23-10.txt","2020-01-23",3623
"2020-01/coronavirus-tweet-id-2020-01-23-11.txt","2020-01-23",4374
"2020-01/coronavirus-tweet-id-2020-01-23-12.txt","2020-01-23",5192
"2020-01/coronavirus-tweet-id-2020-01-23-13.txt","2020-01-23",6611
"2020-01/coronavirus-tweet-id-2020-01-23-14.txt","2020-01-23",8785
"2020-01/coronavirus-tweet-id-2020-01-23-15.txt","2020-01-23",17935
"2020-01/coronavirus-tweet-id-2020-01-23-16.txt","2020-01-23",18037
"2020-01/coronavirus-tweet-id-2020-01-23-17.txt","2020-01-23",16067
"2020-01/coronavirus-tweet-id-2020-01-23-18.txt","2020-01-23",17550
"2020-01/coronavirus-tweet-id-2020-01-23-19.txt","2020-01-23",15425
"2020-01/coronavirus-tweet-id-2020-01-23-20.txt","2020-01-23",12463
"2020-01/coronavirus-tweet-id-2020-01-23-21.txt","2020-01-23",12771
"2020-01/coronavirus-tweet-id-2020-01-23-22.txt","2020-01-23",12220
"2020-01/coronavirus-tweet-id-2020-01-23-23.txt","2020-01-23",12971
"2020-01/coronavirus-tweet-id-2020-01-24-00.txt","2020-01-24",14309
"2020-01/coronavirus-tweet-id-2020-01-24-01.txt","2020-01-24",14668
"2020-01/coronavirus-tweet-id-2020-01-24-02.txt","2020-01-24",15241
"2020-01/coronavirus-tweet-id-2020-01-24-03.txt","2020-01-24",15877
"2020-01/coronavirus-tweet-id-2020-01-24-04.txt","2020-01-24",15696
"2020-01/coronavirus-tweet-id-2020-01-24-05.txt","2020-01-24",14869
"2020-01/coronavirus-tweet-id-2020-01-24-06.txt","2020-01-24",25416
"2020-01/coronavirus-tweet-id-2020-01-24-07.txt","2020-01-24",27195
"2020-01/coronavirus-tweet-id-2020-01-24-08.txt","2020-01-24",26547
"2020-01/coronavirus-tweet-id-2020-01-24-09.txt","2020-01-24",26232
"2020-01/coronavirus-tweet-id-2020-01-24-10.txt","2020-01-24",27340
"2020-01/coronavirus-tweet-id-2020-01-24-11.txt","2020-01-24",29971
"2020-01/coronavirus-tweet-id-2020-01-24-12.txt","2020-01-24",31667
"2020-01/coronavirus-tweet-id-2020-01-24-13.txt","2020-01-24",33304
"2020-01/coronavirus-tweet-id-2020-01-24-14.txt","2020-01-24",33778
"2020-01/coronavirus-tweet-id-2020-01-24-15.txt","2020-01-24",46101
"2020-01/coronavirus-tweet-id-2020-01-24-16.txt","2020-01-24",45586
"2020-01/coronavirus-tweet-id-2020-01-24-17.txt","2020-01-24",37741
"2020-01/coronavirus-tweet-id-2020-01-24-18.txt","2020-01-24",31138
"2020-01/coronavirus-tweet-id-2020-01-24-19.txt","2020-01-24",31107
"2020-01/coronavirus-tweet-id-2020-01-24-20.txt","2020-01-24",27200
"2020-01/coronavirus-tweet-id-2020-01-24-21.txt","2020-01-24",30448
"2020-01/coronavirus-tweet-id-2020-01-24-22.txt","2020-01-24",29868
"2020-01/coronavirus-tweet-id-2020-01-24-23.txt","2020-01-24",29470
"2020-01/coronavirus-tweet-id-2020-01-25-00.txt","2020-01-25",32104
"2020-01/coronavirus-tweet-id-2020-01-25-01.txt","2020-01-25",34672
"2020-01/coronavirus-tweet-id-2020-01-25-02.txt","2020-01-25",35122
"2020-01/coronavirus-tweet-id-2020-01-25-03.txt","2020-01-25",37808
"2020-01/coronavirus-tweet-id-2020-01-25-04.txt","2020-01-25",43284
"2020-01/coronavirus-tweet-id-2020-01-25-05.txt","2020-01-25",40630
"2020-01/coronavirus-tweet-id-2020-01-25-06.txt","2020-01-25",39429
"2020-01/coronavirus-tweet-id-2020-01-25-07.txt","2020-01-25",37437
"2020-01/coronavirus-tweet-id-2020-01-25-08.txt","2020-01-25",37963
"2020-01/coronavirus-tweet-id-2020-01-25-09.txt","2020-01-25",36701
"2020-01/coronavirus-tweet-id-2020-01-25-10.txt","2020-01-25",36577
"2020-01/coronavirus-tweet-id-2020-01-25-11.txt","2020-01-25",40071
"2020-01/coronavirus-tweet-id-2020-01-25-12.txt","2020-01-25",45206
"2020-01/coronavirus-tweet-id-2020-01-25-13.txt","2020-01-25",51245
"2020-01/coronavirus-tweet-id-2020-01-25-14.txt","2020-01-25",61506
"2020-01/coronavirus-tweet-id-2020-01-25-15.txt","2020-01-25",67024
"2020-01/coronavirus-tweet-id-2020-01-25-16.txt","2020-01-25",57362
"2020-01/coronavirus-tweet-id-2020-01-25-17.txt","2020-01-25",48414
"2020-01/coronavirus-tweet-id-2020-01-25-18.txt","2020-01-25",40030
"2020-01/coronavirus-tweet-id-2020-01-25-19.txt","2020-01-25",35399
"2020-01/coronavirus-tweet-id-2020-01-25-20.txt","2020-01-25",30747
"2020-01/coronavirus-tweet-id-2020-01-25-21.txt","2020-01-25",29240
"2020-01/coronavirus-tweet-id-2020-01-25-22.txt","2020-01-25",35545
"2020-01/coronavirus-tweet-id-2020-01-25-23.txt","2020-01-25",45201
"2020-01/coronavirus-tweet-id-2020-01-26-00.txt","2020-01-26",47450
"2020-01/coronavirus-tweet-id-2020-01-26-01.txt","2020-01-26",51336
